building_index,grid_id,grid_col,grid_row,x_m,y_m,A_z,zone_type
1057,13_27,13,27,764116.0569130259,2450384.153915315,62500.0,normal_urban
1058,3_51,3,51,761440.5424543726,2456481.9994790726,62500.0,dense_urban
1059,10_27,10,27,763286.7150914907,2450548.1824014783,62500.0,normal_urban
1060,3_52,3,52,761489.8030387142,2456610.5926158093,62500.0,dense_urban
1061,3_58,3,58,761531.1790670359,2458191.942246041,62500.0,dense_urban
1062,2_60,2,60,761373.8919016146,2458563.7199108326,17110.375834007373,dense_urban
1063,2_59,2,59,761365.8615693186,2458523.8626456703,61870.76660519791,dense_urban
1064,3_58,3,58,761503.7988877125,2458204.7725146594,62500.0,dense_urban
1065,3_58,3,58,761511.4611124955,2458183.9860370676,62500.0,dense_urban
1066,3_58,3,58,761520.933055346,2458157.3756886465,62500.0,dense_urban
1067,3_58,3,58,761529.3587484664,2458137.0684217983,62500.0,dense_urban
1068,3_58,3,58,761541.6594096071,2458165.197263502,62500.0,dense_urban
1069,3_51,3,51,761471.4618795583,2456467.768459514,62500.0,dense_urban
1070,3_52,3,52,761502.008215744,2456597.676869328,62500.0,dense_urban
1071,11_34,11,34,763643.2724889681,2452300.01465765,62500.0,dense_urban
1072,11_35,11,35,763651.8016513084,2452428.2202089233,62500.0,normal_urban
1073,12_35,12,35,763816.5139801692,2452423.0196991563,62500.0,dense_urban
1074,11_35,11,35,763457.5252397676,2452331.1872736844,62500.0,normal_urban
1075,13_27,13,27,764058.9401304516,2450369.658911173,62500.0,normal_urban
1076,10_31,10,31,763198.2127210984,2451405.547689656,62500.0,open_area
1077,5_59,5,59,762166.1899631233,2458480.9898509514,62500.0,dense_urban
1078,6_59,6,59,762230.1828565431,2458395.192887251,62500.0,dense_urban
1079,4_58,4,58,761745.8187775894,2458166.170973985,62500.0,normal_urban
1080,6_59,6,59,762260.895362029,2458364.945205351,62500.0,dense_urban
1081,6_59,6,59,762269.298931056,2458364.1465061335,62500.0,dense_urban
1082,3_58,3,58,761483.437738598,2458195.883676991,62500.0,dense_urban
1083,3_60,3,60,761573.014137204,2458650.812706999,28183.917135561038,dense_urban
1084,5_58,5,58,762087.7090707156,2458296.477223935,62500.0,dense_urban
1085,6_59,6,59,762282.6256749175,2458358.5586103187,62500.0,dense_urban
1086,5_58,5,58,762044.6314869724,2458298.8028804944,62500.0,dense_urban
1087,2_60,2,60,761420.9609737964,2458631.884660395,17110.375834007373,dense_urban
1088,4_60,4,60,761728.4314418378,2458588.9104438312,20382.43435160257,dense_urban
1089,5_59,5,59,762114.0994478359,2458327.986794804,62500.0,dense_urban
1090,6_59,6,59,762250.5142137117,2458366.00814859,62500.0,dense_urban
1091,5_60,5,60,761953.3660264888,2458573.1406367836,37300.49036814078,dense_urban
1092,4_54,4,54,761864.668767857,2457131.1073096073,62500.0,dense_urban
1093,4_53,4,53,761832.3579756761,2457043.3339167926,62500.0,dense_urban
1094,5_53,5,53,762106.4442425489,2456848.7088708095,62500.0,dense_urban
1095,12_56,12,56,763828.7522194232,2457676.0755656003,62500.0,dense_urban
1096,12_56,12,56,763755.592046847,2457728.659924363,62500.0,dense_urban
1097,12_56,12,56,763809.2962613646,2457798.1096933805,62500.0,dense_urban
1098,11_57,11,57,763650.1838855058,2457911.378994662,62500.0,dense_urban
1099,12_57,12,57,763836.9604070163,2457867.447037219,62500.0,dense_urban
1100,12_57,12,57,763704.2836136803,2457866.773464008,62500.0,dense_urban
1101,12_57,12,57,763708.1523801202,2457976.957460852,62500.0,dense_urban
1102,12_56,12,56,763736.0272546421,2457781.0416022656,62500.0,dense_urban
1103,11_56,11,56,763602.6716144782,2457717.0220406326,62500.0,dense_urban
1104,12_56,12,56,763887.0591701048,2457689.566199665,62500.0,dense_urban
1105,19_36,19,36,765523.4310996028,2452725.1195365367,62500.0,open_area
1106,9_59,9,59,763030.9910812657,2458425.197496172,62500.0,dense_urban
1107,9_59,9,59,763068.0850420645,2458413.0436894963,62500.0,dense_urban
1108,9_34,9,34,763183.0224652458,2452125.54767652,62500.0,open_area
1109,8_35,8,35,762700.5858204638,2452420.581014942,62500.0,dense_urban
1110,13_35,13,35,763993.3674986203,2452356.1252284544,62500.0,dense_urban
1111,13_35,13,35,763981.9945158534,2452345.66117865,62500.0,dense_urban
1112,9_52,9,52,763095.4988218874,2456742.57994227,62500.0,normal_urban
1113,12_34,12,34,763853.1055733863,2452086.68485528,62500.0,dense_urban
1114,11_39,11,39,763620.9261727979,2453303.160702069,62500.0,dense_urban
1115,11_39,11,39,763661.7386439544,2453354.9575063004,62500.0,dense_urban
1116,12_39,12,39,763863.8438141637,2453310.9487097585,62500.0,dense_urban
1117,11_39,11,39,763630.681602401,2453338.9658378507,62500.0,dense_urban
1118,13_38,13,38,764118.66388789,2453266.0497159017,62500.0,dense_urban
1119,11_38,11,38,763628.6640741935,2453280.039868343,62500.0,dense_urban
1120,13_38,13,38,764108.9013404035,2453289.150184499,62500.0,dense_urban
1121,13_39,13,39,764061.353779053,2453349.4181878227,62500.0,open_area
1122,12_38,12,38,763844.1097324967,2453210.6003937414,62500.0,dense_urban
1123,12_38,12,38,763857.1075750123,2453194.269483241,62500.0,dense_urban
1124,14_38,14,38,764214.446590643,2453263.3319397857,62500.0,open_area
1125,13_38,13,38,764149.9223647087,2453262.3426716626,62500.0,dense_urban
1126,11_33,11,33,763598.2628307191,2451954.055735601,62500.0,dense_urban
1127,10_33,10,33,763222.1374994655,2451908.480827813,62500.0,normal_urban
1128,16_32,16,32,764772.085356074,2451636.9513710844,62500.0,open_area
1129,12_34,12,34,763847.5213406276,2452081.1945262714,62500.0,dense_urban
1130,12_34,12,34,763816.1484533809,2452092.858603964,62500.0,dense_urban
1131,13_38,13,38,764143.7679979857,2453298.864587497,62500.0,dense_urban
1132,14_38,14,38,764218.4273303044,2453300.860563805,62500.0,open_area
1133,5_60,5,60,762108.4957522609,2458685.8508142023,37300.49036814078,dense_urban
1134,11_33,11,33,763619.6201516255,2451937.3354185536,62500.0,dense_urban
1135,12_39,12,39,763913.166491934,2453363.6816803357,62500.0,dense_urban
1136,13_39,13,39,763969.8268309225,2453310.7876170347,62500.0,open_area
1137,13_39,13,39,763961.7443851563,2453348.6675717137,62500.0,open_area
1138,13_39,13,39,764064.457621616,2453310.1137777134,62500.0,open_area
1139,13_38,13,38,764086.564471477,2453256.944275649,62500.0,dense_urban
1140,13_38,13,38,764019.4195872227,2453296.387062124,62500.0,dense_urban
1141,6_53,6,53,762208.6148426393,2456863.563860958,62500.0,dense_urban
1142,12_39,12,39,763806.6592487562,2453373.253557399,62500.0,dense_urban
1143,12_39,12,39,763710.0282037547,2453362.044212042,62500.0,dense_urban
1144,12_39,12,39,763756.3710214924,2453368.5641563507,62500.0,dense_urban
1145,11_33,11,33,763662.1674875735,2451936.8478507865,62500.0,dense_urban
1146,3_49,3,49,761465.420685052,2455832.0398408603,62500.0,dense_urban
1147,21_27,21,27,766070.9870150884,2450544.0445540203,62500.0,dense_urban
1148,4_38,4,38,761928.9455758928,2453080.2144147493,62500.0,open_area
1149,10_56,10,56,763189.4433217166,2457744.2414622465,62500.0,dense_urban
1150,12_57,12,57,763746.2636849143,2458023.2952358965,62500.0,dense_urban
1151,19_37,19,37,765526.731774072,2453009.5199749283,62500.0,dense_urban
1152,19_37,19,37,765495.2105113919,2453048.2181671797,62500.0,dense_urban
1153,19_37,19,37,765517.386027981,2453042.712641341,62500.0,dense_urban
1154,19_37,19,37,765489.8122799434,2453026.132280861,62500.0,dense_urban
1155,19_37,19,37,765512.1845224762,2453020.3452297878,62500.0,dense_urban
1156,13_34,13,34,763961.1662148262,2452267.1928604376,62500.0,dense_urban
1157,19_37,19,37,765574.4488601038,2453040.267996568,62500.0,dense_urban
1158,19_37,19,37,765635.5303989233,2452890.3150083427,62500.0,dense_urban
1159,11_21,11,21,763515.2755203851,2448831.6984814503,62500.0,normal_urban
1160,19_37,19,37,765608.2674194908,2453038.447120461,62500.0,dense_urban
1161,19_37,19,37,765605.052906767,2453026.6851579836,62500.0,dense_urban
1162,19_37,19,37,765539.3983766321,2453034.081983518,62500.0,dense_urban
1163,19_37,19,37,765596.8184522188,2452828.474017277,62500.0,dense_urban
1164,19_37,19,37,765631.9785358076,2452820.7605494596,62500.0,dense_urban
1165,11_21,11,21,763489.6726112948,2448813.566981947,62500.0,normal_urban
1166,9_35,9,35,763040.7681301831,2452439.4230883555,62500.0,dense_urban
1167,11_21,11,21,763501.5738254485,2448826.4068716485,62500.0,normal_urban
